ISBN,Book-Author,Year-Of-Publication
156907,marva collins,1990
156926,iona m. teeguarden,1977
156929,clifford d. simak,1981
156933,mary kay mcdermott,2000
156935,eve  adamson,2001
156940,robert daley,1992
156982,gayl jones,1987
156989,thomas perry,2002
156993,wendell berry,2003
157020,terry jones,1999
157025,p. j. o'rourke,2001
157039,anthony shaffer,1985
157041,bjork,2001
157044,zarate appignanesi,1996
157046,emma goldman,1969
157054,gabriel garcia marquez,2002
157062,kenzaburo oe,1994
157066,ted nugent,2000
157067,eca de queiros,1994
157083,julia alvarez,2001
157089,david daniel kennedy,1998
157096,charles mcquaig,1998
157100,gwendolyn gray,2003
157101,peggy orenstein,2000
157108,della thompson,1993
157110,joanna trollope,0
157116,paul m. miller,2003
157121,abby bardi,2001
157128,kathleen eagle,1996
157133,barton inc.,1988
157137,maxim jakubowski,1996
157139,caroline brownlow,2001
157146,jan karon,2004
157148,jennifer lauck,2002
157151,richard laymon,1993
157165,marilu henner,1999
157171,jack kerouac,1991
157174,william shakespeare,0
157180,miriam stoppard,1992
157188,betty neels,2003
157206,donna williams,1992
157207,richard picciotto,2002
157219,outlet,1988
157223,sidney lumet,1996
157247,walter scott,2001
157254,william shakespeare,1982
157259,kay r. jamison,2000
157280,marc shapiro,2001
157284,jim conway,1990
157287,loretta lynn,1986
157288,russell lucas,1992
157290,kurt vonnegut,1999
157292,david borgenicht,1995
157295,p. l. firstbrook,1999
157307,iris murdoch,1994
157309,jane donovan,1998
157312,dorling kindersley publishing,1998
157331,kathleen woodiwiss,1990
157345,sheila metzner,2000
157347,judith levine,2002
157358,kyoichi tsuzuki,1999
157364,orr kelly,1995
157374,joani blank,1993
157375,jovial bob stine,1990
157377,barbara m. zollner,2001
157404,margaret weis,1999
157410,giroud,2001
157411,arthur rimbaud,2002
157417,james a doyle,1997
157423,mark berent,1994
157428,william christie,2003
157430,harold coyle,1991
157434,anchee min,1995
157435,le ly hayslip,1993
157449,simone de beauvoir,1974
157452,dick francis,1995
157455,bob rice,2003
157464,wendy pini,2004
157465,teri holbrook,2001
157467,louis l. vine,1983
157475,phyllis j. day,1999
157483,l. e. modesitt jr.,2002
157496,david benioff,2002
157507,james berry,1995
157523,antonia fraser,1998
157524,elaine cunningham,1998
157525,marlee matlin,2002
157528,robin lakoff,2000
157531,elaine cunningham,2001
157532,anne hebert,1994
157534,ru emerson,2001
157538,ru emerson,1999
157540,jetsun pema,1998
157542,thomas m. reid,2001
157544,i. shah,1971
157553,ellen greenberg,1997
157561,oscar janiger,1993
157570,carol gilligan,1982
157571,r. a. salvatore,2000
157573,r. a. salvatore,2000
157574,salah stetie,2000
157576,r. a. salvatore,2000
157577,anais nin,1975
157578,r. a. salvatore,2000
157580,r. a. salvatore,2000
157585,r. a. salvatore,1999
157586,chogyam trungpa,1993
157587,r. a. salvatore,1997
157588,chogyam trungpa,1988
157590,r. a. salvatore,1993
157601,trina paulus,1973
157606,r. a. salvatore,2002
157618,"allen"","" ginsberg",1981
157619,thulani davis,1993
157620,kevin markey,1998
157623,victor hugo,1981
157624,virginia mattingly,1995
157631,keith carter,1995
157632,keith carter,2000
157634,david muench,1984
157635,yann arthus-bertrand,2001
157641,joe klein,1990
157645,steve dale,1998
157646,david bradford,2000
157660,annie hawes,2003
157667,michael brown,2001
157669,tom harpur,1997
157670,kelley roark,1996
157674,tom sharpe,1999
157683,hermann hesse,1981
157687,bob flowerdew,1992
157688,cynthia hands,2000
157693,c.j. peters,1998
157695,gisa john,1998
157699,patricia marx,2000
157704,patricia highsmith,1998
157706,georgeanne brennan,1993
157708,rosamunde pilcher,1993
157711,ingrid fischer-schreiber,1994
157713,anais nin,1976
157717,gore vidal,2003
157718,joy blakeslee,1997
157720,malcolm godwin,1996
157721,ngaire genge,2000
157722,jed civic,1997
157723,louis frederic,1995
157725,marianne dresser,1996
157729,ralph nader,2000
157732,rita m. gross,1993
157737,guy debord,1995
157744,henry horenstein,1983
157747,susan elizabeth phillips,1999
157748,andrew goldsworthy,1990
157753,aimee bender,1999
157754,olivia goldsmith,1997
157760,margaret peterson haddix,1997
157781,winston groom,1998
157790,c.j. cherryh,1996
157801,mark twain,2001
157813,danny bonaduce,2002
157819,myron korach,2002
157821,leslie h. whitten,1992
157823,honor books,1996
157824,molly ivins,1999
157827,carola salisbury,1979
157829,jenna deangeles,2003
157839,elliott leyton,1992
157845,stephen l. nelson,1999
157854,susan power,1997
157863,virginia holman,2003
157864,susan johnson,1999
157868,munro leaf,1936
157896,nancy n. rue,2001
157904,dan parkinson,1993
157914,peg kehret,1993
157919,christiane northrup,1995
157934,nicholas sparks,2004
157945,maia wojciechowska,1992
157968,george eliot,1996
157974,dorothy canfield fisher,1994
157975,arthur j. roth,1989
157981,jan slepian,1992
157987,cora taylor,1989
157992,ruth e. kelley,1994
157993,mary alice kruesi,2000
157996,jacob hoye,2003
158005,lou aronica,1992
158006,helen exley,2003
158023,peter bogdanovich,1985
158033,jim anderson,1994
158039,bob shacochis,1994
158041,margaret peterson haddix,1996
158053,pierre martineau,2003
158063,alan russel,1986
158081,helen creighton,1994
158144,isabel allende,2001
158147,harold robbins,1979
158167,iris murdoch,1990
158170,francine du plessix gray,1988
158189,sam mccarver,2001
158196,daniel stashower,2000
158209,henry beard,1989
158235,jon dald,1998
158242,judy gill,1989
158256,philip kerr,2001
158283,ron rhodes,1994
158307,donald kingsbury,2002
158314,patricia matthews,1985
158339,katherine stone,1997
158347,james e. austin,1999
158363,johann wolfgang von goethe,1999
158366,rumiko takahashi,2003
158383,u s air force,0
158386,anna thomas,1996
158394,boyd  robertson,1995
158399,edain mccoy,2002
158401,d. j. conway,1996
158404,reyna t. lorele,2000
158415,james george frazer,1996
158420,marguerite elsbeth,1996
158435,bonnie j. morris,2000
158462,stephen jones,1999
158470,barry lopez,1979
158475,david wolfe,2000
158500,kate f. jennings,1998
158503,jeff guinn,2004
158504,j.r.r. tolkien,2001
158506,j. r. r. tolkien,2001
158508,rosamunde pilcher,1997
158513,ursula k. le guin,1981
158515,d. a. heeley,1996
158517,tom crockett,2000
158523,dorothy nafus morrison,1986
158529,stephen king,2000
158533,gail fairfield,1990
158546,nancy a. collins,1995
158568,joseph roth,1983
158575,hauff,1999
158576,konstantinos,2001
158583,rick boyer,1988
158584,paul dickson,1999
158585,mercedes lackey,1999
158595,ellen orleans,2001
158601,john fowles,1998
158606,shirley jackson,1987
158608,josie lloyd,2000
158612,allan ahlberg,1999
158615,gerina dunwich,1988
158619,nancy brady cunningham,1995
158622,indries shah,1970
158629,mary kirchoff,1994
158642,arnold robbins,1999
158643,elaine pagels,1989
158650,kathleen norris,1998
158656,jeff rovin,1995
158663,scott russell sanders,1999
158665,scott russell sanders,1997
158667,scott sanders,1992
158669,robin lee hatcher,1994
158671,scott russell sanders,1994
158672,mark bernthal,2000
158677,darcy henton,1996
158696,r. d. bartlett,1996
158705,steve andreas,1994
158723,terry pratchett,1997
158726,robert kroetsch,1988
158741,carla bracale,1989
158743,m. e. cooper,1985
158744,m.e. cooper,1986
158746,m.e. cooper,1988
158748,francine pascal,1986
158752,phyllis pellman good,1984
158753,dan epstein,2002
158757,johanna spyri,2001
158762,anna sewell,2002
158764,roger angell,1989
158767,anna laura lepschy,1990
158769,susan blake,1989
158771,daniela gobetti,1999
158772,judy baer,1989
158776,sirona knight,2000
158783,ryuichi yoshii,1999
158786,judi strada,2004
158789,francine pascal,1988
158792,francine pascal,1989
158802,francine pascal,1984
158803,alison boteler,1991
158806,francine pascal,1984
158807,linda bauer,1988
158810,duncan macdonald,1993
158811,courage books,2000
158817,silitch,1980
158820,winston groom,1995
158821,william h. parker,1996
158824,joan elizabeth lloyd,1994
158825,stephanie st. pierre,1989
158826,brenda brown canary,1975
158829,cheryl farr leas,2000
158830,pamela herr,1987
158831,jeanette foster,2002
158833,frances densmore,1974
158834,fodors,2002
158835,archer mayor,2000
158839,lisa eisenberg,1986
158844,nathaniel hawthorne,1974
158848,robert b. parker,1993
158852,michael webb,2000
158856,kenneth h. jackson,1987
158859,gary smalley,1992
158860,lilly golden,1994
158861,alice morse earle,1973
158863,elizabeth jean rogers,1994
158866,keith d.  dickson,2001
158870,andrew a. rooney,1983
158872,richard nunley,1992
158878,"otto l."","" dr. bettmann",1974
158882,c. keith wilbur,1978
158884,mary p. smith,1991
158887,c. keith wilbur,1998
158890,mike brown,1986
158892,noel perrin,1978
158894,richard marius,1994
158899,ann beattie,1987
158902,alan ross,1999
158905,pema chodron,2001
158906,weight watchers international,1991
158912,russell hoban,1981
158915,john a. garraty,1989
158917,reader's digest,1987
158918,susan loomis,1988
158919,ellen phillips,1993
158922,sheila connor,1995
158926,reader's digest,1988
158928,betty garner,1995
158931,barbara smith,2000
158934,alfred price,0
158935,christy brown,1990
158939,betty crocker,2000
158942,joy waldron jasper,2001
158944,henry berry,2001
158948,karen pryor,2002
158963,emile zola,1977
159043,lynne sharon schwartz,1996
159046,jo ann ferguson,2000
159049,frank schaeffer,1996
159053,ayn rand,1952
159065,bertrand imbert,1992
159067,patricia miles martin,1985
159071,peter lance,2000
159083,geoffrey a. moore,1998
159091,sandra brown,2004
159093,carlton smith,2002
159095,raymond e. feist,1986
159103,andy rathbone,1998
159104,norah lofts,1976
159109,tanith lee,1986
159111,victoria secunda,1998
159116,elizabeth swados,1991
159121,l. e. modesitt jr.,1996
159123,stephen herrero,1988
159126,sally bedell smith,2004
159134,larry wall,1991
159139,walt whitman,1996
159141,sylvia browne,2003
159144,dick raymond,1983
159146,marty nemko,1998
159150,gary mccord,1996
159153,linda williams,1999
159154,pamela wolfe,1997
159155,cynthia grant,2000
159162,martin gross,1988
159163,scott cunningham,1983
159164,cherie bennett,1999
159173,andy behrman,2003
159174,poppy z. brite,1998
159177,rebecca brandewyne,1992
159178,amy raphael,1996
159181,tom henderson,2001
159182,b.h. hart,1988
159184,rona jaffe,1991
159188,debbie macomber,2000
159192,alexandra johnson,2002
159197,betty jane wylie,1988
159202,sam mcbratney,1994
159205,"bernard"","" dr. jensen",1993
159208,james w. huston,1999
159222,reader's digest,1997
159224,lorraine johnson-coleman,1998
159236,josip novakovich,1998
159242,ben kerschberg,2003
159249,nancy pickard,2002
159251,jean pare,1983
159259,jean pare,1989
159260,jean pare,1987
159263,jean pare,1988
159265,jean pare,1990
159268,jean pare,1992
159271,jean pare,1982
159272,clemente alonso,1999
159276,william stuart long,1987
159295,stephen king,2003
159306,launa huffines,1994
159307,donald harstad,2002
159309,doreen virtue,1997
159313,j.r.r. tolkien,1998
159318,j. henri fabre,1991
159322,jack  trout,2001
159324,pamela cuming,1981
159326,georgette mosbacher,1993
159332,matt christopher,1995
159339,k. scott teeters,2003
159344,emily grayson,1999
159346,matt christopher,1991
159349,doreen virtue,2001
159351,glenn  liebman,1997
159357,matt christopher,1997
159362,dennis irwin,1989
159366,taylor caldwell,1978
159367,gary r. smith,1996
159368,helen keller,1985
159372,keith douglass,2000
159374,j. m fenster,2000
159376,james c. donahue,1999
159378,ron jackson suresha,2002
159380,trace beaulieu,1996
159381,henry allen,2000
159383,marianne ragins,1996
159386,keith douglass,2001
159390,larry chambers,1998
159394,reynel martinez,1997
159397,keith douglass,1999
159401,ruth behar,1997
159404,douglas c. waller,1995
159409,louise l. hay,1990
159412,larry gwin,1999
159415,louise l. hay,1992
159417,john rotundo,1995
159418,helena norberg-hodge,1992
159423,chuck carlock,1997
159428,keith douglass,1998
159431,nat hentoff,1983
159434,mike  shannon,1998
159436,mark twain,1992
159437,keith douglass,2000
159440,everett fox,1997
159441,doreen virtue,1994
159442,eric marcus,2000
159445,annie laurie gaylor,1981
159448,wilfred john funk,1992
159449,norman mailer,1981
159451,daniel quinn,1998
159453,theo grutter,2000
159455,jake arnott,1999
159456,ray anderson,1999
159460,ilsa  glazer,1978
159465,mark bryan,1999
159466,jesse sheidlower,1998
159475,william blake,1977
159485,nigel goodall,1999
159488,jane yolen,1996
159491,mercedes lackey,1999
159504,andrea engber,2000
159512,michael lee west,0
159513,britney spears,2001
159536,barbara park,1997
159542,mignon good eberhart,1990
159544,edmund j. bourne ph.d.,1995
159569,john r. erickson,1998
159584,norah hess,1995
159586,bertrice small,1997
159624,julie kaewert,1998
159625,stephen leacock,1995
159649,editors of don't sweat press,2002
159658,agatha christie,1985
159666,soazig aaron,2002
159668,sam deep,1997
159669,patricia potter,2001
159680,stan berenstain,1984
159683,david price,2001
159684,agatha christie,0
159685,bernard tirtiaux,1995
159686,leo cullum,2003
159706,john nichols,1994
159711,edward taussig,1998
159712,melissa wells-petry,1993
159715,b kliban,1983
159716,alice munro,1983
159732,paul warren,1995
159738,emile zola,0
159745,andrew collins,1998
159790,roald dahl,0
159792,lila perl,1982
159793,c. j. cherryh,1997
159794,edith hamilton,1982
159795,elizabeth forrest,1997
159796,alexander key,1979
159806,michael ende,1989
159813,jordi sierra,1995
159821,julia butterfly hill,2001
159826,montse bradford,2000
159829,martine rigaudier,1998
159833,rocio buzo,2001
159840,nawal el saadawi,1985
159845,jack vance,1992
159854,ann m. martin,1994
159861,carol carter,1990
159872,katie fforde,1998
159887,nan pamer,1997
159891,ron roy,2000
159892,rikki lee travolta,2002
159894,johann wyss,1990
159901,carolee brockmann,1999
159904,nan. pamer,1990
159918,anne akers johnson,1995
159922,sharon gordon,1987
159923,jim dodge,1991
159926,carol ellis,1996
159933,r. l. stine,1999
159937,r. l. stine,2003
159948,douglas muir,1985
159949,lorna crozier,1996
159951,michael chabon,1995
159953,mary jo putney,1997
159957,sam storms,1998
159958,chris fuhrman,2001
159962,c. p. cavafy,1992
159963,nan pamer,2001
159970,jodi cobb,1998
159971,k. a. applegate,1999
159972,kalen rogers,1994
159974,stephen rebello,1995
159976,kinky friedman,2003
159980,michael french,1996
159994,john viescas,1997
160006,leslie goldman,2002
160019,richard scarry,1993
160027,walt disney,1987
160031,bev burk,2000
160042,golden books,1990
160043,pascal bruckner,1994
160053,lucy grealy,2000
160060,susan carroll,1987
160063,william j. caunitz,1991
160067,avi,2000
160074,tim lahaye,1998
160078,t. d. jakes,1995
160081,patti roberts,1987
160085,t. d. jakes,1997
160086,richard t. pienciak,1993
160088,charles stanley,1988
160094,joy haney,1996
160098,joy haney,1997
160100,joy haney,1997
160116,steven p. shelov,1991
160119,kevin leman,1989
160123,susie redfern,1991
160143,herbert r. axelrod,1988
160152,robert d. ballard,1993
160153,ernestine taggard,1979
160156,michael g. lemish,1999
160181,russell h. conwell,1995
160183,linda howard,1995
160189,gerald a. browne,1987
160201,mike peters,1994
160203,shelly thacker,1998
160206,karen ranney,1998
160240,cassie edwards,1994
160247,wendy garrett,1995
160250,rexanne becnel,1997
160254,carla neggers,2003
160271,robert heinlein,1990
160273,paula volsky,1986
160287,isaac asimov,1985
160291,bruce obee,1992
160298,gary burghoff,2000
160308,donna grundman,1982
160309,reader's digest,1989
160312,iris johansen,1992
160316,vilhelm moberg,1986
160318,tsuneo nakamura,1988
160319,"varro e."","" phd tyler",1995
160320,m. david tremaine,1995
160322,elaine shimberg,1988
160324,stephen king,1991
160327,earl of harewood,1994
160329,gary stevens,2003
160330,etienne delessert,1986
160331,josephine whitefield,1997
160333,kathryn lasky,2001
160335,barry denenberg,2003
160336,todd r. berger,1998
160338,laurie lawlor,2000
160339,alan m. rapoport,2001
160340,debra marlin,1997
160341,debra marlin,1999
160342,amy jenkins,2000
160343,heather wiles-fone,1998
160348,sara swan miller,1995
160352,jaime j sucher,1987
160353,julia parker,1998
160358,john j coughlin,2001
160359,martha gellhorn,2001
160370,cathy scott-clark,2003
160375,jane alison,2001
160377,josephine page,2001
160378,phyllis root,2000
160379,barbara delinsky,1994
160380,jerry smith,1991
160405,sylvia long,2000
160416,judy blume,1978
160427,robert l. may,2003
160436,harpers magazine staff,1990
160438,edgar allan poe,1982
160443,ed greenwood,1998
160445,paul theroux,2001
160447,shawna kenney,1999
160454,dennis l. mckiernan,1996
160460,jason webster,2003
160462,dianne day,2000
160467,julianne belote,1974
160469,kiki olson,1992
160471,david nemec,1980
160481,katherine kurtz,2001
160487,debbie macomber,2000
160490,joyce milton,1996
160491,james herbert,1988
160497,monique mandali,2001
160499,kathleen kiirik bryson,2001
160500,marilyn kallet,1996
160501,lisa coffman,1996
160504,stacy allison,1999
160508,gary thorp,2000
160516,gina shaw,1994
160533,angelica j.,1997
160534,dan greenburg,1996
160539,holly lisle,1995
160543,christopher moore,0
160549,jerry kennealy,2000
160556,tessa krailing,1999
160560,denise levertov,1999
160563,ben bova,1992
160566,vladimir vladimirovich nabokov,1987
160570,willa sibert cather,1976
160575,kenneth c. flint,1986
160582,urquhart,1991
160590,jim davis,1986
160600,steve pieczenik,1999
160604,catherine christian,1984
160611,robert vaughan,1993
160621,alexandra danilova,1988
160622,nora roberts,1998
160624,sophie d. coe,1996
160627,naomi ragen,1994
160632,tim sandlin,1997
160641,mia couto,1992
160646,brian kiteley,1993
160651,katherine kingsley,2000
160655,brett leveridge,2000
160659,eric van lustbader,1986
160664,r.l. stine,1996
160666,kathryn wesley,2002
160674,helen exley,1997
160678,theodore roland-entwistle,1988
160688,robert reed,1991
160694,warren keifer,1997
160698,gail straub,2000
160704,valerie king,2002
160715,may sarton,1980
160717,eric carle,1996
160719,joseph olshan,1987
160725,claire mcnab,1989
160727,granta,1999
160732,shane lacy hensley,1998
160734,shane lacy hensley,1998
160752,thomas fensch,1988
160754,c. brookmyre,2002
160757,c. d. b. bryan,1995
160758,g. durrell,1953
160767,ngaio marsh,1993
160768,colin butts,2000
160771,r.a. salvatore,1993
160772,tom holt,2002
160775,alan coren,1984
160777,tom holt,2003
160781,elmore leonard,1989
160782,anne mccaffrey,1987
160788,mike gayle,2003
160790,mickey mantle,1992
160791,christopher brookmyre,2001
160792,christopher brookmyre,2002
160793,andrew sullivan,1997
160795,rebecca tope,2002
160807,ricardo j. brown,2003
160808,lee maracle,1988
160812,manfred steffny,1979
160814,christian oster,1999
160821,joan wilder,1985
160826,may sarton,1989
160851,jeanette winterson,1998
160854,morris l. ernst,2000
160859,p. d. james,1982
160890,piers anthony,1992
160895,sherman alexie,1992
160899,j.a. jance,1988
160909,jamie langston turner,1998
160910,edna ferber,1980
160914,karen casey,1996
160918,anne rice,1997
160927,guy willard,2001
160940,jane austen,2003
160942,keith waterhouse,1983
160945,david wiltse,1994
160957,john wyndham,1953
160967,colin bateman,1997
160979,lawrence block,1999
160981,bram stoker,1994
160993,andrew bryce shafran,1995
161001,stephen marlowe,1991
161004,lee simmons,1993
161008,philip pullman,2003
161011,dan klein,2002
161013,royal geographic society,2003
161016,charles dickens,2000
161019,john grisham,2001
161025,humphrey carpenter,1978
161028,carol higgins clark,2000
161031,mary higgins clark,1995
161034,mary higgins clark,2000
161035,mary higgins clark,1997
161036,elizabeth knowles,1999
161037,eric r. kandel,2000
161038,chris mcmanus,2002
161040,paul zindel,1984
161042,simon schama,2003
161046,l.m. montgomery,1999
161053,johanna spyri,2003
161054,spyri,2002
161055,peter ustinov,1987
161057,jules verne,1990
161058,kevin desmond,1987
161061,beecher-stowe,2002
161063,gautier,1985
161067,jack london,2000
161069,amy l. lusebrink,1993
161071,hector malot,2000
161075,vivier,2000
161084,ed mcbain,1987
161088,stephen e. ambrose,2002
161111,stan cullimore,1999
161112,hubert ben kemoun,2002
161122,clamp,2002
161124,ruth ryan langan,2002
161131,colin townsend,1990
161137,patricia meehan,1998
161140,william somerset maugham,1976
161143,alistair maclean,1995
161146,cynthia rutledge,2001
161149,jay brandon,1995
161151,stephen fry,2002
161153,robert edric,1990
161155,margaret eleanor atwood,1985
161157,donald harstad,2003
161162,janet morris,1994
161163,friedrich nietzsche,1972
161164,david g. uterson,1995
161165,jackie collins,1983
161166,caro fraser,1999
161169,margaret mitchell,1976
161170,dick francis,2001
161173,hammond innes,1986
161174,gabrielle roy,0
161175,desmond bagley,2000
161177,didier decoin,1996
161179,alistair maclean,1996
161180,frank andriat,1999
161182,diderot,0
161188,voltaire,2003
161192,marcel proust,1987
161193,grant maclean,1996
161196,agatha christie,1991
161203,richard panek,2001
161207,olive schreiner,1999
161209,jean-paul sartre,1972
161215,abbe prevost,1999
161228,robert louis stevenson,1998
161231,kenneth grahame,1999
161232,gary goldschneider,1994
161233,frances hodgson burnett,2002
161237,mark morris,1994
161245,andrew neil,1996
161248,william shakespeare,2003
161253,alan coren,1992
161255,a.e. hotchner,1991
161256,maureen lipman,1985
161277,gary goldschneider,1997
161278,stendhal,2000
161301,lisanne norman,1997
161304,lisanne norman,1999
161320,ivan fallon,1987
161324,iain wilton,1999
161329,laura claridge,1999
161331,tom wolfe,2000
161341,alistair cooke,1987
161342,paige rense,1997
161345,alexander waugh,1999
161349,john redtail freesoul,1986
161351,david vaskevitch,1993
161354,stephen potts,1995
161360,robert d. ballard,2000
161377,ernest callenbach,1975
161395,loren d. estleman,2003
161396,j.a. jance,1994
161397,"arthur conan"","" sir doyle",1980
161408,richie tankersley cusick (adapter),1997
161416,abigail padgett,1997
161422,marion zimmer bradley,2002
161427,william stuart long,1988
161437,ralph gibson,1981
161449,jean donaldson,1997
161476,bob spitz,0
161481,stephen wright,1988
161484,nathaniel hawthorne,1998
161489,patricia morrisroe,1995
161501,dinky dawson,1998
161507,sara mitchell parsons,2000
161508,leigh rubin,2003
161515,gary carey,1988
161518,rolling stone,1995
161523,irene zahava,1986
161524,frank castelluccio,2000
161543,dave davies,1998
161547,barry neil kaufman,1994
161551,malcolm bradbury,1986
161558,deane juhan,1991
161561,jacklyn bush,2003
161567,lawrence sanders,1998
161569,deirdre bair,1995
161593,thomas j. leonard,1998
161596,sally lloyd jones,1996
161597,charles r.  pellegrino,1993
161598,sibyl j. pischke,1994
161610,bill chickering,1998
161612,mick brown,1999
161613,george garrett,1996
161615,kevin crossley-holland,1981
161616,shae irving,1999
161618,julian f. thompson,1997
161623,betina entzminger,2002
161624,mark epstein,1996
161631,vicki hendricks,1995
161636,bob moog,2003
161640,tony fletcher,1999
161641,gerhard gruitrooy,1993
161644,julia parker,1994
161645,gerhard gruitrooy,1993
161648,gerhard gruitrooy,1993
161651,gerhard gruitrooy,1993
161655,jeff williams,1998
161656,david baird,2002
161662,david baird,2000
161669,barbara boswell,1995
161674,william kerr,2001
161676,sarah dening,1999
161677,d. trinidad hunt,1997
161683,kenneth grahame,1995
161693,david d. burns,1990
161695,robert james waller,1995
161699,stuart m. kaminsky,2000
161709,"phyllis r."","" md koch-sheras",1995
161711,l. m. montgomery,1988
161713,kordula werner,2001
161720,david p. schloss,1991
161728,sarah bird,2001
161736,p.d. eastman,1964
161737,penelope latey,2002
161740,william mcbride,1997
161743,john d. macdonald,1983
161744,david v. barrett,1995
161746,juliet gardiner,1993
161748,neil chesanow,1988
161752,shannon ravenel,2000
161755,kate farrell,1990
161759,tracy thompson,1995
161760,peter g. tsouras,2002
161761,susan rose blauner,2002
161771,robin hemley,1992
161775,donna g. corwin,1998
161788,maureen pople,1990
161791,george r. stewart,1992
161792,"ken"","" jr. keyes",1987
161795,steven l. kent,2001
161798,brian caswell,1999
161799,rick broadhead,2004
161807,brian caswell,1998
161809,brian caswell,1998
161810,j. gregory keyes,1998
161813,jeanne cavelos,1997
161814,robert westall,1996
161824,stephen kenson,2000
161826,fanpro,2003
161828,geoffrey summerfield,1978
161843,greg harvey,1993
161844,fyodor dostoyevsky,1994
161866,bruce bickel,2000
161869,andrews mcmeel publishing,1994
161870,susanne franzen,1997
161889,will johnson,1996
161895,sullivan k,1997
161899,penny frank,1986
161901,penny frank,1984
161903,penny frank,1987
161905,arleta richardson,2001
161910,jan greenough,2003
161920,garborgs heart n home,1998
161932,karen ann wilson,1995
161935,marlo morgan,1999
161947,michelle mee,1995
161951,roberto brunelli,1991
161966,lauren williams,2001
161967,lisa samson,1996
161975,anita mills,1994
161976,anita mills,1992
161980,anita mills,1989
161982,anita mills,1991
161984,jennie austin,1998
161987,paul cornell,2002
161990,sheri dunham haan,1987
161992,william bloom,2003
161994,cathy kelly,2001
161995,thomas freller,1997
161996,sonia ducie,2000
162001,alan dean foster,2002
162002,edna crew,2000
162006,tom holt,2000
162011,georg jonathan precht,2001
162012,joyce ballou gregorian,1989
162015,sarah dessen,1999
162022,martin harry greenberg,1996
162027,dan brown,2003
162030,jules verne,1982
162037,simon fairlie,1996
162041,ben bova,1995
162049,patricia kennealy,1988
162054,pamela westland,1995
162055,chris van allsburg,1985
162058,louis oliver gropp,1994
162062,melba levick,1998
162065,rhonda gray,1991
162068,mark d. taylor,1992
162075,hank hanegraaff,1993
162076,terry hershey,1988
162078,andrew t. lepeau,1985
162083,walter ralston martin,1985
162086,edward j. safdie,1990
162089,helen thackeray,1984
162091,sunset editors,1986
162095,staff of canyon ranch,1990
162096,jane e. brody,1988
162102,franquin,0
162103,lauren kessler,1999
162106,doug tod,1980
162109,steven jonas,1997
162111,lilian jackson braun,1998
162112,nilton bonder,1999
162113,catherine lippincott,1997
162116,ginie polo sayles,1994
162119,fernando pessoa,1989
162125,john dobbert,1980
162129,alexis lichine,1986
162134,kathy mccoy,1982
162136,julie doucet,2000
162168,michelle tea,2000
162171,john grisham,1993
162180,a.e. hotchner,1989
162181,alfred gingold,1998
162187,nick bertozzi,2001
162190,duane brown,1996
162196,anthony parinello,1994
162197,rainer maria rilke,1997
162198,patrick m.  lencioni,2002
162211,ford harding,1994
162213,william t brooks,1987
162214,douglas bloch,1987
162215,edgar cayce,1988
162216,mac anderson,1993
162217,gina cerminara,1983
162218,ray wetherington,1994
162219,william a. mcgarry,1983
162223,susan b. evans,1999
162226,pablo neruda,1989
162227,louella nelson,1993
162233,ernest heminway,1982
162236,jose saramago,2004
162240,donald lynch,1995
162258,stephen jay gould,1998
162287,john lennon,2000
162295,diana palmer,2002
162335,ken akamatsu,2003
162337,ken akamatsu,2003
162339,ken akamatsu,2003
162340,maki murakami,2004
162341,natsuki takaya,2004
162342,natsuki takaya,2004
162344,rumiko takahashi,2004
162347,ken akamatsu,2002
162348,elizabeth thornton,2003
162349,natsuki takaya,2004
162351,catherine coulter,1985
162355,rumiko takahashi,2004
162356,home planners inc,1997
162357,rumiko takahashi,2004
162358,robert a. heinlein,1979
162359,robert b. hale,1991
162360,rumiko takahashi,2003
162363,society for the study of manga techniques,2000
162364,rumiko takahashi,2003
162365,tadashi ozawa,2001
162366,rumiko takahashi,2003
162369,the society for the study of manga techniques,2001
162372,wataru yoshizumi,2003
162374,takehiko inoue,2003
162375,wataru yoshizumi,2003
162377,takehiko inoue,2003
162378,wataru yoshizumi,2003
162380,takehiko inoue,2003
162383,takehiko inoue,2003
162384,koge-donbo koge-donbo,2003
162385,takehiko inoue,2003
162386,wataru yoshizumi,2003
162388,takehiko inoue,2002
162389,satoru akahori,2003
162390,takehiko inoue,2002
162391,rumiko takahashi,2003
162393,takehiko inoue,2002
162394,rumiko takahashi,2003
162398,yoshiyuki sadamoto,2002
162399,gustavs miller,1996
162402,anne stuart,1993
162403,rhondda stewart-garfield,1993
162410,clamp,2001
162411,roger zelazny,1989
162412,clamp,2001
162414,clamp,2000
162418,clamp,1999
162421,ken akamatsu,2002
162422,peter gurney,1999
162425,helen exley,1997
162426,jonathan kellerman,2001
162432,narumi kakinouchi,2002
162434,satoru akahori,2002
162436,william blake,1996
162437,narumi kakinouchi,2002
162439,stephen king,2002
162441,narumi kakinouchi,2001
162444,reku fuyunagi,2003
162445,sadie allison,2001
162446,robert jordan,1999
162447,yu watase,2002
162449,john howells,1998
162457,judy cuevas,1996
162461,satoru akahori,2003
162462,rumiko takahashi,2003
162466,james patterson,2002
162467,julie garwood,2003
162470,not applicable (na ),1999
162472,c. c. benison,1998
162482,alexandra fuller,2004
162484,barbara delinsky,2001
162493,craig nelson,1999
162496,elizabeth fuller,1993
